query_id,channel,rank,title,price,originalPrice,discount,rating,reviewsCount,bestseller,starSeller,shop,delivery,shopPolicies,purchaseProtection,return_policy_text,paymentMethods,paymentMethods_count,number_of_images,first_image_url,alt_text_available,description_text,description_word_count,description_char_count,number_of_faq_items
Find_10_aesthetic_dorm_posters_on_Etsy,SEO,1,"Tween Teen Girls Bedroom Wall Décor, Sage Green Print set of 3 Teenager Girl Wall Art Hangings, Perfume, Makeup Brushes and Headset Prints",16.75,,0.0,5 out of 5 stars,22,False,True,RoseEndCreations,Dec 19-Jan 9,yes,yes,"Buyers are responsible for return shipping costs. If the item is not returned in its original condition, the buyer is responsible for any loss in value.","[""Paypal"", ""Visa"", ""Mastercard"", ""Discover"", ""Apple Pay"", ""Klarna"", ""Giftcard""]",7,10,https://i.etsystatic.com/14220640/r/il/6400b6/7054033079/il_794xN.7054033079_9tp3.jpg,True,"We introduce one of our newest Tween/Teen Girls Décor Print Set, printed and posted to you. This beautiful print set looks fantastic framed and hung in any girls' bedroom. It was originally illustrated and painted here at RoseEndCreations. There are a total of 3 prints in this set (Perfume, Makeup Brushes and Headset). Perfect décor for a girls tween/teen bedroom makeover. All of our prints come UNFRAMED and all of our art is copyright to us.",76,446,4
Find_10_aesthetic_dorm_posters_on_Etsy,SEO,2,"Custom Newspaper Print, Personalized New York Times Wall Art, Retro Magazine Headline, Roommate Decor, Girl Dorm Room Decor, Printable Art",7.96,12.24,0.3497,5 out of 5 stars,26,False,True,EliteMaps,Order today to get by Dec 18-Jan 19,yes,yes,Returns & exchanges not accepted. Please contact the seller if you have any problems with your order.,"[""Paypal"", ""Visa"", ""Mastercard"", ""Discover"", ""Apple Pay"", ""Klarna"", ""Giftcard""]",7,7,https://i.etsystatic.com/37109110/r/il/67f3e3/6251106007/il_794xN.6251106007_7vr8.jpg,True,"Unique and personalized gift idea. Elevate your living space with our exclusive custom college merch newspaper print. This sophisticated wall art blends nostalgia with the trendy clean girl aesthetic and vanilla girl charm, making it the perfect addition to any dorm room. Ideal for roommates and preppy style enthusiasts, this piece captures the essence of college life in a sleek, eye-catching design. Perfect as a roommate gift or a must-have dorm room essential, ""The College Post"" fits seamlessly into y2k room decor and is a top-selling standout in college merch collections. Celebrate your unique bond with this versatile, dopamine-inducing piece that unites all your favorite styles in one.",108,698,0
Find_10_aesthetic_dorm_posters_on_Etsy,SEO,3,"Blue and Pink Preppy Set of 8, Aesthetic Coastal Wall Art, Trendy Girls Dorm Decor, How Lucky Are We, Coquette Bow Boots, Sweet Dreams",4.8,12.0,0.6,5 out of 5 stars,35,True,True,PKArtworkStudio,Instant Download,yes,yes,"This purchase is for Personal Use Only. Please not resell, reproduce, distribute by electronic means or profit in any way.","[""Credit Card"", ""PayPal"", ""Etsy Gift Card""]",3,11,https://i.etsystatic.com/45011633/r/il/0b5d96/7155345642/il_794xN.7155345642_3v3q.jpg,True,"This Blue and Pink Preppy Set of 8 adds a stylish, playful vibe to any space. Featuring aesthetic designs like 'How Lucky Are We,' cute bows, boots, and 'Sweet Dreams', this set is perfect for trendy girls' dorm decor. With a soft color palette and coquette-inspired elements, it’s ideal for creating a cozy and chic atmosphere.",56,328,0
Find_10_aesthetic_dorm_posters_on_Etsy,SEO,4,"Trendy Preppy Wall Art Mega Bundle: Coquette Retro, Kitchen, Bathroom Prints (Digital Download)",8.0,16.0,0.5,5 out of 5 stars,17,True,True,VenusArtPosters,Instant Download,yes,yes,"Due to the nature of digital products, no refunds or exchanges can be provided.","[""Paypal"", ""Visa"", ""Mastercard"", ""Discover"", ""Apple Pay"", ""Klarna"", ""Giftcard""]",7,10,https://i.etsystatic.com/47708967/r/il/551603/6818667321/il_794xN.6818667321_f4v5.jpg,True,"This 60000+ Whole Shop trendy Preppy Pink Wall Art Leopard Prints and Coastal Cowgirl coastal beachy mega Bundle, Coquette Retro Vintage digital wall art set is designed for lovers of unique and aesthetic decor.",34,211,2
Find_10_aesthetic_dorm_posters_on_Etsy,SEO,5,Coquette Flower Bow Wall Prints for Teen Girls Bedroom Cute Floral Decor Above Bed Set of 3 Girly Wall Art Soft Pink Aesthetic Bow Posters,6.0,12.0,0.5,5 out of 5 stars,13,True,True,LittleFeetArts,Instant Download,yes,yes,"Instant download items don’t accept returns, exchanges or cancellations. Please contact the seller about any problems with your order.","[""Paypal"", ""Visa"", ""Mastercard"", ""Discover"", ""Apple Pay"", ""Klarna"", ""Giftcard""]",7,10,https://i.etsystatic.com/53175791/r/il/7248e0/7009872038/il_794xN.7009872038_i6zt.jpg,True,"Soft pastel floral bow art prints set for a feminine girl's bedroom or nursery. Romantic watercolor wall decor, perfect for girls' rooms or coquette aesthetics. Modern, feminine, and calming. Add a soft and elegant touch to your space with this lovely set of pink floral wall art. Featuring three watercolor-style bow flower prints in pastel tones, this digital art set is perfect for a dorm room, a teen girl’s bedroom, or a baby girl's nursery.",75,446,2
Find_10_aesthetic_dorm_posters_on_Etsy,SEO,6,"Retro Coquette Wall Art Set of 3 | Pink Heels, Lips & Girl Quote | Digital Download, Dorm Room Decor, Feminine Y2K Aesthetic",8.9,17.8,0.5,5 out of 5 stars,7,True,True,ArtPrintsByDesigner,Instant Download,yes,yes,No refunds are provided for digital file downloads. This purchase is intended for personal use only.,"[""Credit/Debit Cards"", ""PayPal"", ""Etsy Gift Cards""]",3,8,https://i.etsystatic.com/44040611/r/il/23978c/7126509314/il_794xN.7126509314_an68.jpg,True,"Add retro charm to your space with this digital Coquette Wall Art Set! Featuring pink heels, bold lips on a newspaper, and a fun “Just a Girl” quote, this trio is perfect for dorm decor, glam bedrooms, or girly office walls. Instant download – stylish, feminine, and Y2K-ready! Includes high resolution JPEG files suitable for various print sizes. The item is a digital download, and no physical prints or frames will be shipped.",73,429,3
Find_10_aesthetic_dorm_posters_on_Etsy,SEO,7,Coastal Print Set of 9 Pastel Pink Coastal Wall Art Digital Prints Coastal Granddaughter Aesthetic Beach Girls Dorm Room Trendy Posters Art,14.4,24.0,0.4,5 out of 5 stars,2,True,False,LuxeVibePrints,Instant Download,yes,yes,"Instant download items don’t accept returns, exchanges or cancellations.",[],0,5,https://i.etsystatic.com/50685345/r/il/cc539d/7133841889/il_794xN.7133841889_chlm.jpg,True,"Instantly elevate your space with our downloadable art prints! Whether you're decorating your home, office, or gifting to a loved one, our versatile prints come in multiple sizes to suit all your printing needs.",34,211,0
Find_10_aesthetic_dorm_posters_on_Etsy,SEO,8,Trendy Pink Preppy Wall Art Prints: Dorm & Apartment Decor (Digital Download),8.24,32.95,0.7499,5 out of 5 stars,2,True,True,Dijartstudio,Instant Download,yes,yes,"Instant download items don’t accept returns, exchanges or cancellations.","[""Paypal"", ""Visa"", ""Mastercard"", ""Discover"", ""Apple Pay"", ""Klarna"", ""Giftcard""]",7,10,https://i.etsystatic.com/35870248/r/il/b55a87/7091430840/il_794xN.7091430840_thxx.jpg,True,"Transform your space in minutes with this easy-to-use digital download - simply download, print, and frame! You will receive +700 high resolution JPEG image files at 300 dpi. This product is strictly for personal use.",35,217,4
Find_10_aesthetic_dorm_posters_on_Etsy,SEO,9,"ENTIRE SHOP SALE — 30,000 Printable Wall Art Set | Gallery Wall Bundle | Maximalist Prints | Trendy Posters | Digital Download",7.7,14.0,0.45,4.5 out of 5 stars,15,True,False,GalleryWallDecorArt,Instant Download,yes,yes,"Due to the nature of digital downloads, all sales are final. Please ask any questions you may have and I promise to address any concerns.","[""Paypal"", ""Visa"", ""Mastercard"", ""Discover"", ""Apple Pay"", ""Klarna"", ""Gift card""]",7,10,https://i.etsystatic.com/61510143/r/il/37b87a/7171040398/il_794xN.7171040398_fjqp.jpg,True,"Unleash your creativity with our 30,000 MEGA GALLERY WALL BUNDLE, an unmatched collection of printable wall art covering every style and mood. From vintage art prints and Bauhaus-inspired designs to elegant floral pieces and iconic movie posters, this massive set has something for every space. With instant digital download and lifetime access, you can print and reprint as many times as you like—perfect for refreshing your gallery wall whenever the mood changes. This digital download includes high-resolution printable designs.",79,531,0
Find_10_aesthetic_dorm_posters_on_Etsy,SEO,10,"Retro Stockholm Y2k Pink Cheetah Gallery Wall, Pack of 6 Girly Leopard Poster Bundle, Aesthetic Dorm Room Decor, Digital Download",8.25,15.0,0.45,4.5 out of 5 stars,(112),False,False,HokaaDigital,Instant Download,yes,yes,"No physical print will be shipped. Custom orders are non-refundable, but I’ll work with you until you love it.","[""Paypal"", ""Visa"", ""Mastercard"", ""Discover"", ""Apple Pay"", ""Klarna"", ""Giftcard""]",7,10,https://i.etsystatic.com/45305441/r/il/df9645/7325970378/il_794xN.7325970378_633s.jpg,True,"Stockholm Style Pink and Cheetah Print Wall Art Bundle. Perfect for Dorms, teen bedrooms, girly apartments, or anyone with a love for girly prints. This is a DIGITAL DOWNLOAD—you’ll receive a high-resolution, print-ready file you can print at home or through services like Staples or Walgreens. High-resolution 300 DPI JPEG or PNG.",52,331,0
