query_id,channel,rank,md_word_count,md_sentence_count,md_avg_sentence_length,md_num_bullets,md_num_sections,style_descriptor_count,style_descriptors_unique,persuasion_word_count,md_sentiment_polarity,md_category_path,md_top_category
Show_me_10_funny_coffee_mugs_under__25_from_Etsy,SEO,1,4512,237,19.037974683544302,103,24,1,1,12,0.17310378194402987,,
Show_me_10_funny_coffee_mugs_under__25_from_Etsy,SEO,2,3339,201,16.611940298507463,99,23,1,1,7,0.14742583174401364,,
Show_me_10_funny_coffee_mugs_under__25_from_Etsy,SEO,3,3443,154,22.357142857142858,88,28,1,1,8,0.23108264751121885,,
Show_me_10_funny_coffee_mugs_under__25_from_Etsy,SEO,4,3674,158,23.253164556962027,98,29,0,0,14,0.17560190648998233,,
Show_me_10_funny_coffee_mugs_under__25_from_Etsy,SEO,5,2766,106,26.09433962264151,88,21,0,0,8,0.10778414688759508,,
Show_me_10_funny_coffee_mugs_under__25_from_Etsy,SEO,6,3407,130,26.20769230769231,85,27,0,0,17,0.1377059539160603,,
Show_me_10_funny_coffee_mugs_under__25_from_Etsy,SEO,7,3742,205,18.253658536585366,85,27,0,0,7,0.14002407904193623,,
Show_me_10_funny_coffee_mugs_under__25_from_Etsy,SEO,8,3132,116,27.0,74,23,0,0,25,0.1788244147827482,,
Show_me_10_funny_coffee_mugs_under__25_from_Etsy,SEO,9,3684,148,24.89189189189189,103,26,0,0,10,0.08598190490291471,,
Show_me_10_funny_coffee_mugs_under__25_from_Etsy,SEO,10,3559,125,28.472,86,28,0,0,8,0.14692773911809728,,
List_10_personalized_photo_mugs_for_gifts_from_Ets,SEO,1,4844,266,18.210526315789473,105,25,1,1,24,0.22061060870246477,,
List_10_personalized_photo_mugs_for_gifts_from_Ets,SEO,2,2982,153,19.49019607843137,84,21,0,0,4,0.17116957015084766,,
List_10_personalized_photo_mugs_for_gifts_from_Ets,SEO,3,5508,229,24.05240174672489,132,30,0,0,22,0.2408109785019509,,
List_10_personalized_photo_mugs_for_gifts_from_Ets,SEO,4,4611,254,18.153543307086615,101,30,1,1,14,0.16069730556799516,,
List_10_personalized_photo_mugs_for_gifts_from_Ets,SEO,5,3579,189,18.936507936507937,86,29,0,0,13,0.15680462037962042,,
List_10_personalized_photo_mugs_for_gifts_from_Ets,SEO,6,8360,345,24.231884057971016,154,35,0,0,63,0.2778810524823794,,
List_10_personalized_photo_mugs_for_gifts_from_Ets,SEO,7,4625,253,18.280632411067195,97,28,0,0,18,0.1846025457722705,,
List_10_personalized_photo_mugs_for_gifts_from_Ets,SEO,8,6186,321,19.27102803738318,95,31,0,0,13,0.1363209295987829,,
List_10_personalized_photo_mugs_for_gifts_from_Ets,SEO,9,7643,294,25.996598639455783,140,26,0,0,56,0.29099219043682945,,
List_10_personalized_photo_mugs_for_gifts_from_Ets,SEO,10,3891,228,17.06578947368421,96,29,0,0,10,0.15436510659152167,,
Find_10_aesthetic_mugs_with_lids_under__30_on_Etsy,SEO,1,4512,237,19.037974683544302,103,24,1,1,12,0.17310378194402987,,
Find_10_aesthetic_mugs_with_lids_under__30_on_Etsy,SEO,2,5119,213,24.03286384976526,120,30,1,1,32,0.22962978247563948,,
Find_10_aesthetic_mugs_with_lids_under__30_on_Etsy,SEO,3,3944,205,19.2390243902439,129,22,1,1,6,0.17504165142637296,,
